audit_classification,definition,family,missing_semantics,predictor,reason_retained,recommended_transform,support_requirement,transformation_reason,unit
SPARSE,Consecutive template repeat ratio calculated by the templates V2 extractor.,templates,NOT_SUPPORTED_OR_NOT_OBSERVED,templates__consecutive_template_repeat_ratio,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""comparable target-participating transactions""",Bounded dimensionless value; preserve its domain.,ratio
SPARSE,Dominant template count calculated by the templates V2 extractor.,templates,NOT_SUPPORTED_OR_NOT_OBSERVED,templates__dominant_template_count,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""comparable target-participating transactions""",Non-negative magnitude/count is potentially heavy-tailed.,count
SPARSE,Dominant template ratio calculated by the templates V2 extractor.,templates,NOT_SUPPORTED_OR_NOT_OBSERVED,templates__dominant_template_ratio,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""comparable target-participating transactions""",Bounded dimensionless value; preserve its domain.,ratio
SPARSE,Rare template ratio calculated by the templates V2 extractor.,templates,NOT_SUPPORTED_OR_NOT_OBSERVED,templates__rare_template_ratio,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""comparable target-participating transactions""",Bounded dimensionless value; preserve its domain.,ratio
SPARSE,Template entropy calculated by the templates V2 extractor.,templates,NOT_SUPPORTED_OR_NOT_OBSERVED,templates__template_entropy,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""comparable target-participating transactions""",Bounded dimensionless value; preserve its domain.,normalized_entropy
SPARSE,Template transition entropy calculated by the templates V2 extractor.,templates,NOT_SUPPORTED_OR_NOT_OBSERVED,templates__template_transition_entropy,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""comparable target-participating transactions""",Bounded dimensionless value; preserve its domain.,normalized_entropy
SPARSE,Transition repeat ratio calculated by the templates V2 extractor.,templates,NOT_SUPPORTED_OR_NOT_OBSERVED,templates__transition_repeat_ratio,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""comparable target-participating transactions""",Bounded dimensionless value; preserve its domain.,ratio
SPARSE,Active day concentration calculated by the temporal V2 extractor.,temporal,NOT_SUPPORTED_OR_NOT_OBSERVED,temporal__active_day_concentration,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""participating transactions with timestamps""",Bounded dimensionless value; preserve its domain.,ratio
SPARSE,Active hour concentration calculated by the temporal V2 extractor.,temporal,NOT_SUPPORTED_OR_NOT_OBSERVED,temporal__active_hour_concentration,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""participating transactions with timestamps""",Bounded dimensionless value; preserve its domain.,ratio
SPARSE,Burst count calculated by the temporal V2 extractor.,temporal,NOT_SUPPORTED_OR_NOT_OBSERVED,temporal__burst_count,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""participating transactions with timestamps""",Non-negative magnitude/count is potentially heavy-tailed.,count
SPARSE,Gap entropy calculated by the temporal V2 extractor.,temporal,NOT_SUPPORTED_OR_NOT_OBSERVED,temporal__gap_entropy,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""participating transactions with timestamps""",Bounded dimensionless value; preserve its domain.,normalized_entropy
SPARSE,Interarrival cv calculated by the temporal V2 extractor.,temporal,NOT_SUPPORTED_OR_NOT_OBSERVED,temporal__interarrival_cv,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,STANDARD_SCALER,"""participating transactions with timestamps""",Unbounded or shape statistic on a moderate numerical scale.,coefficient
SPARSE,Interarrival kurtosis calculated by the temporal V2 extractor.,temporal,NOT_SUPPORTED_OR_NOT_OBSERVED,temporal__interarrival_kurtosis,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,ROBUST_SCALER,"""participating transactions with timestamps""",Observed distribution is heavy-tailed; avoid mean-sensitive scaling.,shape_statistic
