audit_classification,definition,family,missing_semantics,predictor,reason_retained,recommended_transform,support_requirement,transformation_reason,unit
SPARSE,Capacity input entropy calculated by the capacity V2 extractor.,capacity,NOT_SUPPORTED_OR_NOT_OBSERVED,capacity__capacity_input_entropy,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""target-controlled input and output Cells""",Bounded dimensionless value; preserve its domain.,normalized_entropy
SPARSE,Capacity output entropy calculated by the capacity V2 extractor.,capacity,NOT_SUPPORTED_OR_NOT_OBSERVED,capacity__capacity_output_entropy,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""target-controlled input and output Cells""",Bounded dimensionless value; preserve its domain.,normalized_entropy
USABLE,Capacity repeat ratio calculated by the capacity V2 extractor.,capacity,NOT_SUPPORTED_OR_NOT_OBSERVED,capacity__capacity_repeat_ratio,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""target-controlled input and output Cells""",Bounded dimensionless value; preserve its domain.,ratio
SPARSE,Input capacity cv calculated by the capacity V2 extractor.,capacity,NOT_SUPPORTED_OR_NOT_OBSERVED,capacity__input_capacity_cv,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,STANDARD_SCALER,"""target-controlled input and output Cells""",Unbounded or shape statistic on a moderate numerical scale.,coefficient
SPARSE,Output capacity cv calculated by the capacity V2 extractor.,capacity,NOT_SUPPORTED_OR_NOT_OBSERVED,capacity__output_capacity_cv,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,ROBUST_SCALER,"""target-controlled input and output Cells""",Observed distribution is heavy-tailed; avoid mean-sensitive scaling.,coefficient
SPARSE,Output capacity mean calculated by the capacity V2 extractor.,capacity,NOT_SUPPORTED_OR_NOT_OBSERVED,capacity__output_capacity_mean,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""target-controlled input and output Cells""",Non-negative magnitude/count is potentially heavy-tailed.,shannon
USABLE,Target consumed capacity calculated by the capacity V2 extractor.,capacity,NOT_SUPPORTED_OR_NOT_OBSERVED,capacity__target_consumed_capacity,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""target-controlled input and output Cells""",Non-negative magnitude/count is potentially heavy-tailed.,shannon
USABLE,Target net capacity delta calculated by the capacity V2 extractor.,capacity,NOT_SUPPORTED_OR_NOT_OBSERVED,capacity__target_net_capacity_delta,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""target-controlled input and output Cells""",Non-negative magnitude/count is potentially heavy-tailed.,shannon
SPARSE,Consumed cell count calculated by the lifecycle V2 extractor.,lifecycle,NOT_SUPPORTED_OR_NOT_OBSERVED,lifecycle__consumed_cell_count,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""target-controlled inputs consumed inside the frozen window with locally established creation transaction""",Non-negative magnitude/count is potentially heavy-tailed.,count
SPARSE,Long lived cell ratio calculated by the lifecycle V2 extractor.,lifecycle,NOT_SUPPORTED_OR_NOT_OBSERVED,lifecycle__long_lived_cell_ratio,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""target-controlled inputs consumed inside the frozen window with locally established creation transaction""",Bounded dimensionless value; preserve its domain.,ratio
SPARSE,Rapid consumption ratio calculated by the lifecycle V2 extractor.,lifecycle,NOT_SUPPORTED_OR_NOT_OBSERVED,lifecycle__rapid_consumption_ratio,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""target-controlled inputs consumed inside the frozen window with locally established creation transaction""",Bounded dimensionless value; preserve its domain.,ratio
SPARSE,Same block consumption ratio calculated by the lifecycle V2 extractor.,lifecycle,NOT_SUPPORTED_OR_NOT_OBSERVED,lifecycle__same_block_consumption_ratio,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""target-controlled inputs consumed inside the frozen window with locally established creation transaction""",Bounded dimensionless value; preserve its domain.,ratio
SPARSE,Short lived cell ratio calculated by the lifecycle V2 extractor.,lifecycle,NOT_SUPPORTED_OR_NOT_OBSERVED,lifecycle__short_lived_cell_ratio,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""target-controlled inputs consumed inside the frozen window with locally established creation transaction""",Bounded dimensionless value; preserve its domain.,ratio
USABLE,Branch count calculated by the lineage V2 extractor.,lineage,NOT_SUPPORTED_OR_NOT_OBSERVED,lineage__branch_count,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""locally established Cell-to-transaction and transaction-to-Cell hyperedges""",Non-negative magnitude/count is potentially heavy-tailed.,count
USABLE,Continuation count calculated by the lineage V2 extractor.,lineage,NOT_SUPPORTED_OR_NOT_OBSERVED,lineage__continuation_count,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""locally established Cell-to-transaction and transaction-to-Cell hyperedges""",Non-negative magnitude/count is potentially heavy-tailed.,count
USABLE,Lineage depth calculated by the lineage V2 extractor.,lineage,NOT_SUPPORTED_OR_NOT_OBSERVED,lineage__lineage_depth,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""locally established Cell-to-transaction and transaction-to-Cell hyperedges""",Non-negative magnitude/count is potentially heavy-tailed.,count
USABLE,Lineage repetition calculated by the lineage V2 extractor.,lineage,NOT_SUPPORTED_OR_NOT_OBSERVED,lineage__lineage_repetition,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""locally established Cell-to-transaction and transaction-to-Cell hyperedges""",Bounded dimensionless value; preserve its domain.,ratio
USABLE,Merge count calculated by the lineage V2 extractor.,lineage,NOT_SUPPORTED_OR_NOT_OBSERVED,lineage__merge_count,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""locally established Cell-to-transaction and transaction-to-Cell hyperedges""",Non-negative magnitude/count is potentially heavy-tailed.,count
